pi01    157,98,759,949
pi02    247,137,692,838
pi03    165,110,725,920
pi04    100,60,750,860
pi05    170,160,720,880
pi06    210,150,690,850
pi07    190,80,700,900
pi08    160,150,710,860
pi09    200,140,680,865
pi10    160,130,670,870
pi11    247,135,677,853
pi12    160,110,725,895
pi13    175,65,755,965
pi14    170,90,706,840
pi15    190,65,721,881
pi16    256,55,699,854
pi17    140,135,715,915
pi18    160,110,725,895
pi19    80,125,775,900
pi20    160,110,725,895
pi21    170,125,705,890
pi22    224,47,719,887
pi23    230,142,689,832
